ID,N,M,fre,cond_coarse
3,512,24,1.249127e-16,2.668590e+02
3,512,25,1.188221e-16,2.647434e+02
3,512,26,1.240581e-16,2.615776e+02
3,512,27,1.237960e-16,2.573566e+02
3,512,28,1.222510e-16,2.668590e+02
3,512,29,1.301197e-16,2.610500e+02
3,512,30,6.757046e-03,2.913600e+02
3,512,31,1.221309e-16,2.626329e+02
3,512,32,1.226903e-16,2.541908e+02
3,512,33,1.267686e-16,2.621052e+02
3,512,34,6.757046e-03,2.913600e+02
3,512,35,1.237916e-16,2.594671e+02
3,512,36,1.292995e-16,2.668590e+02
3,512,37,1.242969e-16,2.547184e+02
3,512,38,1.218402e-16,2.615776e+02
3,512,39,1.243977e-16,2.687570e+02
3,512,40,1.207210e-16,2.541908e+02
3,512,41,1.221309e-16,2.605224e+02
3,512,42,1.196323e-16,2.668590e+02
3,512,43,1.231678e-16,2.504974e+02
3,512,44,1.239989e-16,2.563013e+02
3,512,45,1.246229e-16,2.621052e+02
3,512,46,1.237521e-16,2.679893e+02
3,512,47,1.223110e-16,2.489145e+02
3,512,48,1.216091e-16,2.541908e+02
3,512,49,1.226504e-16,2.594671e+02
3,512,50,1.245892e-16,2.647434e+02
3,512,51,6.757046e-03,2.913600e+02
3,512,52,1.253524e-16,2.478592e+02
3,512,53,1.249029e-16,2.526079e+02
3,512,54,1.227644e-16,2.573566e+02
3,512,55,1.238805e-16,2.621052e+02
3,512,56,1.214381e-16,2.668590e+02
3,512,57,1.210750e-16,2.415277e+02
3,512,58,1.217297e-16,2.457487e+02
3,512,59,1.204066e-16,2.499697e+02
3,512,60,1.210144e-16,2.541908e+02
3,512,61,1.215287e-16,2.584118e+02
3,512,62,1.220508e-16,2.626329e+02
3,512,63,1.229690e-16,2.668590e+02
3,512,64,1.250203e-16,2.373066e+02
4,512,16,6.778626e-15,1.495937e+02
4,512,17,6.757046e-03,2.173044e+02
4,512,18,5.701319e-15,3.602842e+02
4,512,19,9.227618e-15,3.693304e+02
4,512,20,3.358105e-15,1.429429e+02
4,512,21,4.698401e-14,7.599745e+02
4,512,22,6.680034e-15,3.438822e+02
4,512,23,6.061575e-15,1.770977e+02
4,512,24,1.016973e-14,8.143681e+02
4,512,25,6.863303e-15,9.339370e+01
4,512,26,4.912913e-15,7.022536e+01
4,512,27,5.370443e-15,3.475184e+02
4,512,28,3.334353e-14,7.314554e+02
4,512,29,5.614879e-15,9.583588e+01
4,512,30,6.757046e-03,2.374103e+02
4,512,31,1.245285e-14,1.232783e+02
4,512,32,1.049955e-14,9.325489e+01
4,512,33,6.635614e-15,3.034774e+02
4,512,34,6.757046e-03,2.052231e+02
4,512,35,1.062201e-14,8.811961e+01
4,512,36,5.610192e-15,1.804933e+02
4,512,37,7.962253e-15,8.180705e+01
4,512,38,7.685243e-15,2.345404e+02
4,512,39,4.678519e-15,9.330023e+01
4,512,40,6.773786e-15,1.174820e+02
4,512,41,9.163144e-15,8.876825e+01
4,512,42,4.970029e-15,7.314554e+02
4,512,43,3.722814e-15,7.112366e+01
4,512,44,1.068926e-14,3.034774e+02
4,512,45,6.319391e-15,3.380537e+02
4,512,46,5.548004e-15,1.770977e+02
4,512,47,9.133699e-15,8.874072e+01
4,512,48,3.937110e-15,5.861014e+01
4,512,49,3.481948e-14,1.419803e+02
4,512,50,5.908329e-15,9.399529e+01
4,512,51,6.757046e-03,2.145274e+02
4,512,52,5.301085e-15,6.336025e+01
4,512,53,6.291242e-15,1.286653e+02
4,512,54,7.341076e-15,2.305984e+02
4,512,55,2.573332e-14,5.136708e+01
4,512,56,3.305794e-14,7.314554e+02
4,512,57,1.589422e-14,6.598118e+01
