ID,M,k_max_up,k_max_down,fre,cond,cond_coarse,cond_partmax,cond_partmax_dyn
1,512,17,3,3,7.441652339291721e-15,2981.4156944362476,147.91273703262053,2118.9329129260013,539.9874190311381
1,512,17,3,4,9.625280842986329e-15,2981.4156944362476,353.5190397021012,2118.9329129260013,637.8706838542462
1,512,17,3,5,9.56477823818654e-15,2981.4156944362476,797.8010518343664,2118.9329129260013,2288.8194874724772
1,512,17,4,0,6.596360606534805e-15,2981.4156944362476,1103.2894814610868,2118.9329129260013,2396.0379753580737
1,512,17,4,1,8.624244165370499e-15,2981.4156944362476,975.4121701360795,2118.9329129260013,2219.1745378766477
1,512,17,4,2,3.882306098533555e-15,2981.4156944362476,1087.71029254794,2118.9329129260013,2136.752781965863
1,512,17,4,3,6.149800309738718e-15,2981.4156944362476,947.9215072265567,2118.9329129260013,1177.3969186432184
1,512,17,4,4,5.8591421821169205e-15,2981.4156944362476,949.7713712083486,2118.9329129260013,1177.3969186432184
1,512,17,4,5,9.52307274050543e-15,2981.4156944362476,949.7713712082337,2118.9329129260013,1177.3969186432184
1,512,17,5,0,6.843981330442848e-15,2981.4156944362476,1103.2894814610997,2118.9329129260013,2288.272821186882
1,512,17,5,1,8.098939736666165e-15,2981.4156944362476,994.1058127549054,2118.9329129260013,2219.1745378766477
1,512,17,5,2,3.869975787192043e-15,2981.4156944362476,1087.7102928406598,2118.9329129260013,2136.752781965863
1,512,17,5,3,7.44431300430848e-15,2981.4156944362476,1024.2825417250533,2118.9329129260013,1177.3969186432184
1,512,17,5,4,6.713550084141813e-15,2981.4156944362476,948.023386237922,2118.9329129260013,1177.3969186432184
1,512,17,5,5,6.315149297093114e-15,2981.4156944362476,930.0016153540499,2118.9329129260013,637.8706838542462
1,512,18,0,0,9.353429621385478e-15,2981.4156944362476,990.1723946353592,38819.5884035199,38819.5884035199
1,512,18,0,1,9.512618047433909e-15,2981.4156944362476,1080.4451090937996,38819.5884035199,38819.588606368794
