ID,N,fre,cond_coarse,label,rating
14,512,4.944997e-8,542380500,cond_coarse_min_cond,3.25100537977617
15,512,5.846834e-5,1050363000000,cond_coarse_min_cond,0.3800885663356914
16,512,2.932963e-15,15.80042,cond_coarse_min_cond,1.1041298289348909
17,512,1.160333e-16,1,cond_coarse_min_cond,0.9931687885277416
18,512,9.732742e-17,1.732051,cond_coarse_min_cond,1.0190211149117323
19,512,1.164855e-16,1.027486,cond_coarse_min_cond,1.0850566768168577
20,512,1.078551e-16,1.429131,cond_coarse_min_cond,0.9629094291917836
1,512,4.189525e-15,59.21951,rows_cond_min_fre,0.5126502532277685
2,512,1.100826e-16,1,rows_cond_min_fre,0.9777584741359325
3,512,1.171222e-16,254.7184,rows_cond_min_fre,0.9546166241341002
4,512,2.842343e-15,88.7609,rows_cond_min_fre,0.2707109352305575
5,512,1.340952e-15,363.7575,rows_cond_min_fre,0.791925262257121
6,512,9.305294e-17,1.021994,rows_cond_min_fre,0.9371291319114866
7,512,2.415509e-16,3.000023,rows_cond_min_fre,0.8717479645455595
8,512,4.19059e-5,70537570000000,rows_cond_min_fre,1
9,512,6.815324e-5,48285240000000,rows_cond_min_fre,0.27781940681140854
10,512,5.244001e-4,1.00795,rows_cond_min_fre,1
11,512,1.969713e-5,282489100000000,rows_cond_min_fre,0.011373901926511578
12,512,5.277071e-5,4509141000000,rows_cond_min_fre,0.5283966576382179
13,512,0.02064796,2412208e10,rows_cond_min_fre,0.06200938671612692
14,512,4.973855e-8,2867011000,rows_cond_min_fre,3.2699775881009843
15,512,7896.424,7039627000000001e16,rows_cond_min_fre,51332746.53152023
16,512,1.291586e-15,32.41121,rows_cond_min_fre,0.4862245549073411
17,512,1.13519e-16,1,rows_cond_min_fre,0.9716480329774357
18,512,9.099245e-17,1.732051,rows_cond_min_fre,0.9526937819532262
19,512,1.052841e-16,1.027486,rows_cond_min_fre,0.9807161892909739
20,512,1.010928e-16,1.70473,rows_cond_min_fre,0.9025369254063937
1,512,5.438958e-15,18.87654,rows_cond_min_cond,0.6655368319786126
2,512,1.132365e-16,1,rows_cond_min_cond,1.0057715520572146
3,512,1.256301e-16,233.0856,rows_cond_min_cond,1.0239611444425516
4,512,5.295366e-15,57.16201,rows_cond_min_cond,0.5043421860936897
5,512,1.659394e-15,14.73936,rows_cond_min_cond,0.9799873736255235
6,512,1.001327e-16,1.015823,rows_cond_min_cond,1.0084288602482985
7,512,2.6076080000000002e-16,3,rows_cond_min_cond,0.9410757593255573
8,512,4.19059e-5,64647910000000,rows_cond_min_cond,1
9,512,6.816996e-5,48285060000000,rows_cond_min_cond,0.2778875641063792
10,512,5.244001e-4,1.004637,rows_cond_min_cond,1
