ID,lim_lo,lim_hi,fre,cond_coarse
1,12,26,1.835917e-14,2.329054e+03
1,12,27,2.027773e-14,1.287847e+03
1,12,28,2.030095e-14,1.287847e+03
1,12,29,2.030095e-14,1.287847e+03
1,12,30,7.884331e-14,2.321464e+03
1,12,31,7.884335e-14,2.321464e+03
1,12,32,1.838082e-14,2.329054e+03
1,12,33,1.855181e-14,2.329054e+03
1,12,34,1.855181e-14,2.329054e+03
1,12,35,1.855181e-14,2.329054e+03
1,12,36,3.916302e-14,2.329054e+03
1,12,37,3.916302e-14,2.329054e+03
1,12,38,3.916302e-14,2.329054e+03
1,12,39,3.917019e-14,2.329054e+03
1,12,40,1.840557e-14,2.329054e+03
1,12,41,1.837517e-14,2.329054e+03
1,12,42,1.835638e-14,2.329054e+03
1,12,43,1.835638e-14,2.329054e+03
1,12,44,1.840847e-14,2.329054e+03
1,12,45,4.826422e-14,4.140134e+01
1,12,46,2.091206e-14,1.921952e+04
1,12,47,2.091206e-14,1.921952e+04
1,12,48,2.091206e-14,1.921952e+04
1,12,49,2.095332e-14,1.921952e+04
1,12,50,2.095332e-14,1.921952e+04
1,12,51,2.095332e-14,1.921952e+04
1,12,52,2.095332e-14,1.921952e+04
1,12,53,2.095332e-14,1.921952e+04
1,12,54,7.305256e-15,1.921952e+04
1,12,55,7.305256e-15,1.921952e+04
1,12,56,7.305256e-15,1.921952e+04
1,12,57,7.305256e-15,1.921952e+04
1,12,58,7.305256e-15,1.921952e+04
1,12,59,7.305256e-15,1.921952e+04
1,12,60,1.916830e-14,1.080239e+03
1,12,61,1.916830e-14,1.080239e+03
1,12,62,1.916830e-14,1.080239e+03
1,12,63,1.920835e-14,1.080139e+03
1,12,64,8.293496e-14,8.696364e+02
1,12,65,8.696591e-14,3.710987e+02
1,12,66,8.696591e-14,3.710987e+02
1,12,67,9.392175e-14,2.268159e+02
1,12,68,8.298926e-14,3.964619e+02
1,12,69,8.298926e-14,3.964619e+02
1,12,70,8.298926e-14,3.964619e+02
1,12,71,8.298926e-14,3.964619e+02
1,13,20,1.810279e-15,2.344486e+03
1,13,21,3.371656e-14,2.336227e+03
1,13,22,3.956399e-15,2.344486e+03
